BRANCH_NAM,TYPE,ADDRESS,CPO_CODE,LAT,LNG
BUSTLETON AVE,Branch,10199 BUSTLETON AVE,52004,40.1077997525559,-75.02617065990896
KATHERINE DREXEL,Branch,11099 KNIGHTS ROAD,52017,40.08400319708224,-74.97357252479215
WADSWORTH AVENUE,Branch,1500 WADSWORTH AVE,52041,40.07895414872002,-75.17370883027768
FOX CHASE,Branch,501 RHAWN ST,52010,40.07671308996482,-75.081943952649
WELSH ROAD,Branch,9233 ROOSEVELT BOULEVARD,52043,40.07410349811837,-75.03210436869972
CHESTNUT HILL,Branch,8711 GERMANTOWN AVE,52006,40.07773397345749,-75.20932920826043
WEST OAK LANE,Branch,2000 WASHINGTON LANE,52044,40.06721450368266,-75.15777088025303
ANDORRA,Branch,705 E CATHEDRAL ROAD,52001,40.064338703635364,-75.23844308886882
TORRESDALE,Branch,3079 HOLMES AVE,52040,40.05683070924375,-75.01598148174449
LOVETT MEMORIAL,Branch,6945 GERMANTOWN AVE,52023,40.05680304795973,-75.18768878583369
OAK LANE,Branch,6614 N 12TH ST,52027,40.0545963722965,-75.13776716533789
REGIONAL - NORTHEAST,Branch,2228 COTTMAN AVE,52110,40.04816788785513,-75.06149015348765
LAWNCREST,Branch,6098 RISING SUN AVE,52020,40.046186917391715,-75.10009336209862
OGONTZ,Branch,6017-35 OGONTZ AVE,52028,40.047098906421716,-75.15073025333488
HOLMESBURG,Branch,7810 FRANKFORD AVE,52016,40.040437460092114,-75.03174945651448
BUSHROD,Branch,6304 CASTOR AVE,52003,40.03869156116017,-75.07860175555689
GREATER OLNEY,Branch,5501 N 05TH ST,52013,40.034867874801094,-75.13063244414943
ROXBOROUGH,Branch,6245 RIDGE AVE,52035,40.03668863185632,-75.21828170626905
REGIONAL - NORTHWEST,Branch,68 W CHELTEN AVE,52111,40.03432368034409,-75.1760180312133
LOGAN,Branch,1333 WAGNER AVE,52022,40.03177985775475,-75.14532516264279
TACONY,Branch,6742 TORRESDALE AVE,52039,40.02531704045153,-75.04521082122034
WYOMING,Branch,231 E WYOMING AVE,52048,40.02133933752218,-75.12068769404364
FRANKFORD,Branch,4634 FRANKFORD AVE,52011,40.01569918933749,-75.08495837354857
FALLS OF SCHUYLKILL,Branch,3501 MIDVALE AVE,52008,40.014302197449304,-75.1923689646396
NICETOWN-TIOGA,Branch,3720 N BROAD ST,52026,40.009986831140914,-75.15131833126118
KENSINGTON,Branch,104 W DAUPHIN ST,52018,39.984699709928606,-75.13265519354665
WIDENER,Branch,2808 W  LEHIGH AVE,52050,39.99672017923064,-75.17762208482269
MCPHERSON SQUARE,Branch,601 E INDIANA AVE,52025,39.99483637137385,-75.11887547109099
WYNNEFIELD,Branch,5325 OVERBROOK AVE,52047,39.9950448584934,-75.23364440971127
LEHIGH AVENUE,Branch,601 W LEHIGH AVE,52021,39.99269558521595,-75.142519572128
RICHMOND,Branch,2987 ALMOND ST,52033,39.98281793660194,-75.10835984868865
CECIL B. MOORE,Branch,2320 W CECIL B. MOORE AVE,52005,39.98054657037621,-75.17356304136841
GEORGE INSTIT (closed),Branch,1461 N 52ND ST,52012,39.97654787946956,-75.22655327896138
OVERBROOK PARK,Branch,7422 HAVERFORD AVE,52029,39.97603045856782,-75.26402319620732
FISHTOWN COMMUNITY,Branch,1217 E MONTGOMERY AVE,52009,39.971892506685016,-75.12727007212723
R.G. DERODRIGUEZ,Branch,600 W GIRARD AVE,52036,39.970140301347655,-75.14684440930758
HADDINGTON,Branch,446 N 65TH ST,52014,39.97055374047059,-75.24957606863575
HAVERFORD AVENUE,Branch,5543 HAVERFORD AVE,52015,39.967682209104446,-75.23162501365186
"DURHAM, CHARLES /MANTUA",Branch,3320 HAVERFORD AVE,52024,39.963859912181604,-75.19132718047248
CENTRAL LIBRARY,Central,1901 VINE ST,52100,39.959368250266685,-75.17106830691255
REGIONAL - WEST PHILADELPHIA,Branch,125 S 52ND ST,52112,39.95754302358257,-75.22514604931683
WALNUT STREET WEST,Branch,3948 WALNUT ST,52042,39.95379078737447,-75.20244524280047
BLANCHE A. NIXON,Branch,5800 COBBS CREEK PARKWAY,52002,39.9457566535733,-75.24151288095665
KINGSESSING,Branch,1201 S 51ST ST,52019,39.94201932066766,-75.21821124711452
QUEEN MEMORIAL,Branch,23RD & FEDERAL STS,52032,39.937903702143316,-75.18166334731818
"SANTORE, CHAS/SOUTHWARK",Branch,932 S 07TH ST,52038,39.93701371341619,-75.15522531860323
SOUTH PHILADELPHIA,Branch,1700 S BROAD ST,52037,39.92917637929928,-75.1692813677664
WHITMAN,Branch,200 SNYDER AVE,52045,39.921630895958764,-75.1502845953911
FUMO FAMILY,Branch,2437 S  BROAD ST,52034,39.91979060217131,-75.17035287286696
PASSYUNK,Branch,1935 SHUNK ST,52031,39.91958476373163,-75.18010978674324
PASCHALLVILLE,Branch,6942 WOODLAND AVE,52030,39.92039568482096,-75.24087984967713
EASTWICK,Branch,2851 ISLAND AVE,52007,39.905942672793984,-75.24031441611874
PHILA CITY INSTITUTE,Branch,1905 LOCUST ST,52163,39.94943481628631,-75.17313860962298
INDEPENDENCE BRANCH,Branch,18 S 07TH ST,52049,39.95029766442715,-75.15240231856757
BLIND AND PHYSICALLY HANDICAPPED,Special Agencies,919 WALNUT ST,52198,39.94856253730785,-75.15679140008424
